BRAND NAME,PRODUCT NAME,CATEGORY,SUBCATEGORY,INGREDIENTS,NOVA Group
"KinderFerrero, , Kinder Ferrero",Kinderriegel - KinderFerrero - g,"Snacks,  Sweet snacks"," Confiseries chocolatées,  Snacks sucrés","higher milk chocolate 40% (sugar, milk powder, cocoa butter, cocoa paste, emulsifiers: lecithins [soy], vanillin), sugar, skim milk powder, palm oil, concentrated butter, emulsifiers: lecithins [soy], vanillin",Food processing level unknown
Waitrose,Wholegrain bran flakes - Waitrose - 420 g,"Plant-based foods and beverages,  Plant-based foods"," Flakes,  Cereal flakes","Wholegrain wheat (63%), wheat bran (20%), Sugar, oat flour, barley malt extract, glucose syrup, salt, iron, Vitamin E, Antioxidant ascorbyl palmitate and alpha-tocopherol, niacin, Emulsifier mono-and diglycerides of fatty acids, pantothenic acid, Vitamin B12, Vitamin D, Thiamin (B1), folic acid, citric acid, riboflavin, Vitamin B6. ALLERGY ADVICE: For allergens, including cereals containing gluten, see ingredients in bold. May also contain nuts, peanuts and milk.",Ultra processed foods
Napolina,Chopped tomatoes - Napolina - 400g,"Plant-based foods and beverages,  Plant-based foods"," Tomatoes,  Canned tomatoes","Chopped Tomatoes, Tomato Juice, Acidity Regulator (Citric Acid).",Unprocessed or minimally processed foods
Yeo Valley,Strawberry Bio Live Yoghurt - Yeo Valley - 450 g,"Dairies,  Fermented foods"," Fruit yogurts,  Strawberry yogurts","Organic whole MILK yogurt, organic strawberries (5%), organic sugar (4.9%), organic maize starch, natural flavouring, organic concentrated elderberry juice, organic concentrated lemon juice",Ultra processed foods
Marigold,Engevita Nutritional Yeast Flakes with B12 - Marigold - 100g,"Condiments,  Food additives"," Nutritional yeast,  Yeast","Dried inactive yeast (99%), vitamin d yeast, thiamine (b1), riboflavin (b2), niacin (b3), pantothenic acid (b5), pyridoxide (b6), folic acid (b9), cyanocobalamin (b12), zinc sulfate",Unprocessed or minimally processed foods
New York Bakery Co,Cinnamon & Raisin Bagels - New York Bakery Co - 450 g,"Plant-based foods and beverages,  Plant-based foods"," Special breads,  Bagel breads","WHEAT Flour (WHEAT Flour, Calcium Carbonate, Iron, Niacin, Thiamin), Water, Raisins (6%), Sugar, Yeast, Maize, WHEAT Gluten, Salt, Cinnamon (Cassia), Rapeseed Oil, Mixed Spice, Malted BARLEY Flour, Preservative (Calcium Propionate), Brown Sugar, Orange Peel, Flour Treatment Agent (Ascorbic Acid).",Ultra processed foods
"Branston, Bilash",Branston Original Pickle - 360 g,"Plant-based foods and beverages,  Plant-based foods"," Chutneys,  Fruit chutneys","mixed vegetables (carrot, rutabaga, onion, cauliflower, marrow, gherkin), sugar, vinegar, malt (barley, vinegar, eau-de-vie, salt, chopped dates (with flour of rice), potatoes (preservative: sulphur dioxide), modified corn starch, tomato paste, dye e150d, spices, concentrated lemon juice, onion powder, garlic extract",Ultra processed foods
Prozis,Peanut Butter Crunchy - Prozis - 500 g,"Plant-based foods and beverages,  Plant-based foods"," Nut butters,  Peanut butters","100% peanuts, an oil separation effect can occur, mix just before well closed pot in a dark, cool dry ct, cabri of frost, this varied and balanced afimentation and a healthy lifestyle",Food processing level unknown
Danone,Jamila - Danone - 165 g,"Beverages,  Dairies"," Fruit yogurts,  Drinkable yogurts","French: 
                    
                    Lait sans crème, sucre, crème, poudre de lait sans crème, protéines du lait, matière grasse laitiere, colorant naturel",Ultra processed foods
Philadelphia,Philadelphia - 270 g e,"Dairies,  Fermented foods"," Pasteurized cheeses,  Cheese spreads","milk, cream, salt, stabilizers (e401, e410, e407), preservative (e202)",Ultra processed foods
Lu,Biscuits Petit Déjeuner Moelleux Coeur Gourmand Fraise 🍓 - Lu - 250 g,"Snacks,  Sweet snacks"," Biscuits,  Petit-déjeuners","cereals 41.1% [wheat flour 22.1%, whole grain 1 6.6% (crushed whole buckwheat 13%, whole wheat flour 0.9%, whole barley flour 1 0.9%, whole spelt flour (wheat) 0.9%, oatmeal 0.9%), rice flour 2.3%, malted wheat flour 0.1 0%1, sugar, rapeseed oil, humectant (glycerol), loading agents (polydextrose, wheat starch, maltitol), modified starch, inulin, syrup, concentrated strawberry puree 1.3% (strawberry equivalent 5.1%) , glucose-fructose starch, corn isomaltulose, salt, uplift powder (sodium acid carbonate), emulsifier (soy lecithin), acid correctors (citric acid, malic acid, sodium citrates), minerals (magnesium oxide, elemental iron), aromas, wheat gluten, dextrose, concentrated black carrot juice, gelling (pectin), vitamins [vitamin b6, folacin (b9)",Ultra processed foods
Côte d'Or,Mignonnette Noir - Orange - Côte d'Or - 240 g (24 x 10 g),"Snacks,  Sweet snacks"," Dark chocolate bar with fruits,  Dark chocolates with orange","sugar, cocoa paste, cocoa butter, cocoa heavily degreased powder, orange zest, emulsifier (soy lecithin), aromas, dextrose, acidity regulator (citric acid), whole milk powder",Ultra processed foods
The Bridge,Bio Avena Drink natural - The Bridge - 1L,"Plant-based foods and beverages,  Beverages"," Cereal-based drinks,  Oat-based drinks",": 
                    
                    Eau de source, avoine* 14%, huile de tournesol*, huile de carthame*, sel marin. * = biologique.",Processed foods
Nestlé,Nescafé classic descafeinado - Nestlé - 200 g,"Plant-based foods and beverages,  Beverages"," Instant coffees,  Decaffeinated instant coffees","nescafe classic all smell, all taste 100 cups decaffeinated",Food processing level unknown
Valor,Valor Chocolate puro con almendras - 250 g,"Snacks,  Sweet snacks"," Chocolates with almonds,  Dark chocolates with almonds","Spanish: 
                    
                    Azúcar, pasta de cacao, almendras, manteca de cacao, lecitina de soja, aroma",Ultra processed foods
Pascual,Leche entera - Pascual - 1 l,"Dairies,  Milks"," UHT Milks,  Whole milks",whole milk uht,Unprocessed or minimally processed foods
Gullón,Galleta maría ligera sin sal y sin azúcar - Gullón - 600 g (3 x 200 g),"Snacks,  Sweet snacks"," Biscuits,  es:Galletas maría","Spanish: 
                    
                    Harina de trigo 51,5%, fibra vegetal, aceite vegetal (girasol alto oleico) 9%, edulcorante (maltitol), semillas de sésamo 4,5%, salvado de trigo, harina de soja, gasificantes (carbonato ácido de potasio, carbonato ácido de amonio), proteína de soja, emulgente (lecitina de soja), germen de trigo 0,2%, semillas de lino 0,2%, antioxidante (metabisulfito potásico), aroma de vainilla.",Ultra processed foods
Oroweat,Pan 12 cereales y semillas - Oroweat - 590 g,"Plant-based foods and beverages,  Plant-based foods"," Multigrain sliced breads,  Wholemeal breads","whole wheat flour, water, wheat flour, sugar, yeast, sunflower seeds (3,6%), wheat gluten, vegetable oil (sunflower), chopped wheat (2,7%), chopped rye (2,5%), salt, corn semolina (1,3%), oat flakes (0,8%), preservatives (e-282, e-200, e-202), emulsifiers (e-481,e-472e), wine vinegar,sliced oats (0,49%), chopped brown rice (0,4%), barley flakes (0,2%),  seeds of brown flax (0,2%), millet (0,2%), sliced triticale (0,1%),  spelt flour (0,1%), buckwheper flour (0,1%), flour treatment agent (e-300,e-341)",Ultra processed foods
Hacendado,Hacendado - 300 g,"Condiments,  Sauces"," Fried tomato sauces,  Groceries","tomato, olive oil (15%), sugar, salt and garlic",Processed foods
Hacendado,Feta - Hacendado - 150 g,"Dairies,  Fermented foods"," Sheep's-milk cheeses,  Feta","sheep and goat's milk, salt, lactic ferments, rennet, brine: water, salt",Processed foods
Lipton,Thé vert menthe x 30 sachets - Lipton - 48 g,"Plant-based foods and beverages,  Beverages"," Green teas with mint,  fr:Thés verts aromatisés",": 
                    
                    Thé vert, menthe verte (21%), arôme naturel de menthe (15%).",Ultra processed foods
Petit Navire,Thon entier au naturel albacore - Petit Navire - 190 g e,"Seafood,  Fishes and their products"," Yellowfin tunas,  Tuna in brine",": 
Thon, eau, sel.",Processed foods
Cassegrain,Petits Pois et Carottes - Cassegrain - 400 g,"Plant-based foods and beverages,  Plant-based foods"," Canned legumes,  Canned peas and carrots",": 
                    
                    Légumes (petits pois 41% , carottes 22%), eau, sucre 3,2%, salade 2,1%, sel, oignon grelot 0,4%, arômes naturels.",Ultra processed foods
Lotus,Gaufre de Liège (l'originale chocolat au lait) - Lotus - 362.6 g (7 unités de 51.8 g),"Snacks,  Sweet snacks"," Chocolate coated waffles,  Plain Brussels-style soft waffle","French: 
                    
                    Farine de blé tendre, perles de sucre 18%, huiles végétales (palme, colza), chocolat au lait 13% (sucre, beurre de cacao, pâte de cacao, poudre de lait entier, lactosérum en poudre (lait), émulsifiant (lécithine de soja, E476), arôme vanille naturel), sirop de glucose-fructose, oeufs frais, levure, émulsifiant (mono - et di-glycérides d'acides gras, stéaroyl-2-lactylate de sodium, lécithine de soja), sel, arme.",Ultra processed foods
Fontaneda,Digestive finas chocolate negro - Fontaneda - 170g,"Snacks,  Sweet snacks"," Biscuits,  Chocolate biscuits","wheat flour 42 %, dark chocolate 38 % [sugar, cocoa paste, cocoa butter, milk fat anhydrous, lactose (from milk), emulsifier (lecithin of s0ja), flavour], vegetable fats (palm, palm kernel oils), sugar, fiber, wheat, sugar syrup, wheat bran, raising agents (sodium carbonates, ammonium carbonates), salt, corrector of acidity (malic acid), emulsifier (lecithin of sunflower)",Ultra processed foods
"Alpenmark, Hofburger",Frischkäse - Alpenmark - 300g,"Fermentierte-lebensmittel,  Fermentierte-milch"," Kase,  Milchprodukte","milk, table salt, lactic acid cultures, microbial rennet substitute",Processed foods
Jacksons,mutigrain brown - jacksons - 800g,"Plant-based foods and beverages,  Plant-based foods"," Cereals and potatoes,  Breads","Wheat Flour [with added Calcium Carbonate, Iron, Niacin, Thiamin*], Water, Malted Wheat Flakes (7.1%), Barley Flour (4.7%), Jumbo Oats (4.7%), Wheat Protein, Barley Flakes (2.3%), Golden Brown Sugar, Yeast, Malted Barley Flour, Fermented Wheat Flour, Malted Kibbled Wheat (0.9%), Salt, Spirit Vinegar, Emulsifiers [E472(e), E471], Flour Treatment Agent (E300), Rapeseed Oil, Wheat Flour. *Nutrients added by Law.",Ultra processed foods
Sondey,Oat cookies with milk - Sondey,"Snacks,  Sweet snacks"," Chocolate biscuits,  Drop cookies",The ingredients of the product must be specified in order to determine the NOVA group.,Food processing level unknown
good 4 u,Protein Salad Topper Super Seeds - good 4 u - 150g,"Plant-based foods and beverages,  Plant-based foods"," Plant-based foods,  Seeds","(ENG) Roasted Sunflower Seeds (50 %), Roasted Pumpkin Seeds (28 %), Roasted Green Peas (16%), Tamari (SOYA Bean, Water, Sea Salt) (4 %), Rapeseed Oil.",Processed foods
Alpro,alpro® Barista Almond - 1L,"Plant-based foods and beverages,  Beverages"," Nut-based drinks,  Almond-based drinks","Water, almond (2.5%), sugar, fructose, acidity regulators (potassium phosphates), calcium [calcium carbonate), natural flavourings, stabilisers (gellan gum, guar gum), sea salt. May contain traces of nuts.",Ultra processed foods
"Danone, Fjord, Fjord nature",Fjord nature 125 g x 8 - Danone - 1 kg,"Dairies,  Fermented foods"," fr:Spécialités laitières,  fr:Spécialités laitières nature non sucrées","French: 
LAIT entier, crème (LAIT), protéines de LAIT, ferments lactiques (LAIT)",Ultra processed foods
Milbona,High protein quark creme - Milbona - 200 g,"Dairies,  Fermented foods"," Quarks,  Fruit quarks","curd cheese 50%, yoghurt product 40%, raspberries 7%, starch, colouring plant concentrates (radish, sweet potato, apple), thickener: locust bean gum, sweetener: acesulfame k, sucralose, natural flavouring",Ultra processed foods
"Kinder, Ferrero",Kinder Joy œufs surprises Comics 3x20g - 60 g,"Snacks,  Sweet snacks"," Confectioneries,  Chocolate candies","sugar, vegetable fats (palm, shea), skimmed milk powder 19.5 per cent, wheat flour, lean cocoa 3,5%, wheat starch, dough of cocoa, malt extract, emulsifiers : lecithins [soy], sunflower oil, milk protein, cocoa butter, flavourings, powders to raising (carbonate acid, ammonium carbonate acid sodium), salt",Ultra processed foods
Specially Selected,Superseed farmhouse - Specially Selected - 800g,"Plant-based foods and beverages,  Plant-based foods"," Wheat breads,  Seeded-loaf","Wheat Flour (Wheat Flour, Calcium Carbonate, Iron, Niacin, Thiamin), Water, MIXED SEEDS (16%) (Sunflower Seeds, Linseed, Millet, Poppy Seeds, Pumpkin Seeds), Malted Wheat Flakes, Yeast, Salt, Preservative: Calcium Propionate; Emulsifiers: Mono - and Diglycerides of Fatty Acids, Mono - and Diacetyl Tartaric Acid Esters of Mono - and Diglycerides of Fatty Acids; Wheat Gluten, Spirit Vinegar, Rapeseed Oil, Flour Treatment Agent: Ascorbic Acid.",Ultra processed foods
Flora,Plant butter - Flora,"Spreads,  Spreadable fats","Spreads,  Spreadable fats","plant oils (sustainable palm*, sunflower, rapeseed), filtered water, sea salt (1,7%), fava bean preparation, plant-based emulsifier (sunflower lecithin), natural flavourings, completely dairy free and lactose free made from 100% natural ingredients great for spreading, baking and cooking",Ultra processed foods
Kinder,Kinder Happy Hippo Biscuit - 103.5 g,"Snacks,  Sweet snacks"," Biscuits,  Chocolate biscuits","sugar, vegetable fats (palm, shea), wheat flour, milk powder 7,5%, lean cocoa
5%, skimmed milk powder 4,5%, hazelnuts, lactoserum powder, wheat starch,
cocoa, emulsifiers: lecithins [soja], sunflower oil, milk proteins, cocoa butter, baking powders
(ammonium carbonate, sodium acid carbonate), salt, vanillin",Ultra processed foods
Bjorg,Crousti' avoine superfruits - Bjorg - 500 g,"Plant-based foods and beverages,  Plant-based foods"," Crunchy cereal clusters,  Cereal clusters with fruits","French: 
                    
                    Flocons d'avoine 54%, sucre de canne brut*, riz extrudé* (farine de riz), farine d'avoine* 8%, son d'avoine* 5%, huile de tournesol*, stabilisant : fibre d'acacia*, flocons de noix de coco*, cranberries lyophilisées* 1,1%, cassis lyophilisés* 1,1%, myrtilles lyophilisées* 0,8%, sel marin, antioxydant : extrait riche en tocophérols.
*Ingrédients biologiques.",Processed foods
Fleury Michon,Le Supérieur -25% de Sel - Conservation sans Nitrite - Fleury Michon - 210 g,"Meats and their products,  Meats"," Prepared meats with less salt,  White hams with less salt",": 
                    
                    Jambon de porc, bouillon (eau, os de porc, plantes aromatiques, épices, concentré d'oignon, concentré de carotte, viande de porc, céleri, carottes, concentré de céleri, poireau, oignon), sel,  chlorure de potassium, arôme naturel (présence naturelle de polyphénols), vinaigre en poudre, dextrose de maïs, antioxydant : acide ascorbique.",Ultra processed foods
Léonce Blanc,Confiture 70% d'abricot - Léonce Blanc - 320 g,"Plant-based foods and beverages,  Plant-based foods"," Jams,  Apricot jams","French: 
                    
                    Abricots 70 %, sucre, jus de citron concentré, gélifiant : pectine de fruits",Ultra processed foods
LU,Napolitain l'original - LU - 12 x 30g,"Snacks,  Desserts"," Chocolate soft cake,  Filled sponge cake slices","wheat flour 24%,sugar, palm oil, glucose syrup - fructose, eggs 7, 5, chocolate powder 6.5% (sugar, cocoa powder), stabilizers (glycerol, sorbitol, whey powder (milk, starches, glucose syrup, flavorings (contains alcohol, lean cocoa powder, rapeseed oil, baking powders (ammonium carbonates, diphosphates, sodium carbonates), cocoa butter,  salt, shea fat, skimmed milk powder, emulsifiers (e472b, e472a, soy lecithins, e471, e473), thickener (xanthan gum), colour (e160a), concentrated butter, acidity regulators (sodium citrates, citric acid, tartaric acid), preservative (potassium sorbate)",Ultra processed foods
Pepsi,Pepsi,"Beverages,  Carbonated drinks"," Carbonated drinks,  Sodas","carbonated soft drink with lemon juice obtained from concentrated lemon juice (1%), ingredients: water, fructose syrup - glucose, catr sugar dioxide, lemon juice obtained from concentrated lemon juice dye (caramel with ammonium sulfite), flavoring, caffeine, acidifying acid (phosphoric acid), acidity corrector (preservative soda citrates (sodium benzoate), nutritional declaration per 100ml:  energy value 188 kj/",Ultra processed foods
Tesco,Tesco Finest Greek Yoghurt - 500g,"Dairies,  Fermented foods"," Yogurts,  Greek-style yogurts",milk,Unprocessed or minimally processed foods
Golden sun,Couscous moyen Golden sun - 1 kg,"Plant-based foods and beverages,  Plant-based foods"," Durum wheat semolinas,  Durum wheat semolinas for couscous","French: 
                    
                    Semoule de blé dur précuit. Traces éventuelles de soja et de moutarde.",Unprocessed or minimally processed foods
BJORG BIO NUTRI +,P'tit nature 5 céréales - BJORG BIO NUTRI + - 167 g,"Snacks,  Sweet snacks"," Biscuits and cakes,  Biscuits","French: 
                    
                    Farine complète de blé, farine de petit, épeautre, sucre de canne roux, huile de colza, farine d'orge, flocons d'avoine, farine de riz, poudre à lever: carbonates d'ammonium, carbonate de sodium, acidifiant: acide citrique, antioxydant: extraits de romarin",Processed foods
Kellogg's,Blueberry wheats - Kellogg's,"Plant-based foods and beverages,  Plant-based foods"," Extruded cereals,  Filled cereals","nutriti uk (rl shredded wholewheat with a blueberry flavoured filling. ingredients: wholewheat(74%), blueberry flavoured filling (blueberry puree(10%), glucose syrup, sugar, humectant {glycerol}, acidity regulator{citric acid}, gelling agent{pectin}, natural flavouring). for allergens see ingredients highlighted in bold. may contain gluten from other cereals. best before: see top.",Ultra processed foods
St Michel,Galette nature - St Michel - 142 g,"Snacks,  Sweet snacks"," Biscuits,  Shortbread cookies","French: 
                    
                    Farine de céréales 70% (blé 47%, blé complet 20%, orge malté 3%), sucre, huile de colza 10%, beurre pâtissier 4.7%, œufs 2.4%, poudres à lever : carbonates d'ammonium et de sodium et acide citrique, arôme naturel (lait), fibres de blé, lait écrémé en poudre",Ultra processed foods
Schweppes,Schwepes - Schweppes - 6 x 250 ml,"Beverages,  Carbonated drinks"," Sodas,  ro:Apa tonica","Water, zahär, carbon dioxide, citric acidifier, potassium sorbate preservative, pentr flavors including quinine, valare energes rinta before: see on grasim",Ultra processed foods
Jardin biologique,Beurre de cacahuète Creamy - Jardin biologique - 500 g,"Plant-based foods and beverages,  Plant-based foods"," fr:Pâtes à tartiner,  Peanut butters","French: 
CACAHUETES* 94,5%, sucre de canne*, sel.
* Produits issus de l'agriculture biologique.",Processed foods
Hacendado,Chocolate negro 72% - Hacendado - 100 g,"Snacks,  Sweet snacks"," Chocolates,  Dark chocolates","Spanish: 
                    
                    Pasta de cacao, azúcar, manteca de cacao, emulgente (lecitina de soja), aroma. Cacao: 72% minimo.",Ultra processed foods
"San Pellegrino, Nestlé",S.pellegrino - San Pellegrino - 33cl,"Beverages,  Carbonated drinks"," Flavored waters,  Flavored sparkling waters","French: 
                    
                    eau minerale naturelle (99.3%), dyoxyde de carbone, arome naturel d'orange sanguine, arome naturel de framboise noire, avec autres aromes naturels",Ultra processed foods
PITCH,"Brioche Chocolat - PITCH - 8 x 37,5g","Snacks,  Sweet snacks"," Brioches,  Brioche filled with chocolate drops",": 
                    
                    Farine de blé 29% - Fourrage au chocolat 28% (sirop de glucose, chocolat 5% (sucre, pâte de cacao, poudre de cacao maigre, beurre de cacao, lactose, émulsifiant : lécithines de soja), eau, sucre, amidon de maïs, noisette, lait entier en poudre, arôme naturel de vanille) - Sucre - Levain 9% (farine de blé 5%, eau, sel) - Œufs frais 8% - Huile de colza - Levure - Beurre pâtissier - Fibres de psyllium - Emulsifiant : mono et diglycérides d'acides gras - sel - Gluten de blé - Epaississant : gomme guar - Agent de traitement de la farine : acide ascorbique - Protéines de lait.",Ultra processed foods
Ovomaltine,Ovomaltine Crunchy Cream - 380 g,"Breakfasts,  Spreads"," Hazelnut spreads,  de:Brotaufstrich mit malzhaltigem Getränkepulver Ovomaltine","malted beverage powder ovaltine 33% ( barley malt extract 17 %, condensed skim milk , condensed milk serum , low-fat cocoa powder, sugar, fructose, minerals (magnesium carbonate, dicalcium phosphate), rapeseed oil 0.2%, vitamins (e, c, thiamine, riboflavin, niacin, b6, folic acid, b12, biotin, pantothenic acid), table salt, flavouring (vanillin)), sugar, swiss vegetable oils 29% (rapeseed oil, rapeseed oil fully hydrogenated), hazelnuts, emulsifiers (sunflower lecithin, mono - and diglycerides of fatty acids), mineral (dicalcium phosphate), low-fat cocoa powder, antioxidant (l-ascorbyl palmitate, alpha-tocopherol), flavouring (vanillin)",Ultra processed foods
"Herta, Le Bon Paris",Le Bon Paris Fumé - Herta - 140 g e,"Meats and their products,  Meats"," Hams,  White hams","fresh pork ham, salt, natural flavor (natural occurrence of polyphenols), broth (water, salt, pork rind and bones, onion, carrot, spices and aromatic plants, garlic), sugar, antioxidant: ascorbic acid,

made in france with rigorously selected pork of eu origin, packaged in a protective atmosphere",Ultra processed foods
Kellogg's,Special k chocolat au lait - Kellogg's,"Plant-based foods and beverages,  Plant-based foods"," Cereals and their products,  Breakfast cereals","French: 
                    
                    Riz(40%), blé complet, chocolat au lait (14%)(sucre, pâte de cacao, beurre de cacao, lait entier en poudre, lait écrémé en poudre, émulsifiant {lécithine de soja} arôme naturel de vanille), sucre, orge (4%), farine d’orge maltée, sel, extrait de malt d’orge, niacine, fer, riboflavine, thiamine, vitamine B6, acide folique, vitamine D, vitamine B12.",Ultra processed foods
BEN'S ORIGINAL,Riz aux champignons de Paris - BEN'S ORIGINAL - 220 g,"Plant-based foods and beverages,  Plant-based foods"," Cereal grains,  Rices","French: 
                    
                    Riz long grain étuvé à la vapeur (84%), champignons (champignons de Paris) (8.0%), arôme naturel, huile de tournesol, champignon boletus luteus, oignons en poudre, sel, extrait de levure, ail en poudre, herbes, acidifiant (acide citrique), épice.",Ultra processed foods
Hovis,Hovis Best of Both Bread - 800g,"Plant-based foods and beverages,  Plant-based foods"," White breads,  Bread white from wheat flour of the highest grade GOST 26987-86","Water, Wheat Flour (with added Calcium, Iron, Niacin, Thiamin) (32%), Wholemeal Flour (Wheat) (32%), Yeast, Calcium Sulphate, Salt, Wheat Protein, Soya Flour, Preservative: E282, Emulsifiers: E472e, E471, E322 (Rapeseed); Flour Treatment Agent: Ascorbic Acid.",Ultra processed foods
Sainsbury's,Wholegrain Malties - Sainsbury's,"Plant-based foods and beverages,  Plant-based foods"," Cereals and their products,  Breakfast cereals","Wholewheat, Sugar, Barley Malt Extract, Invert Sugar Syrup, Salt, Vitamins and Mineral Mix (Niacin, Thiamin, Iron, Vitamin D, Vitamin B12, Pantothenic Acid, Riboflavin, Folic Acid, Vitamin B6).",Ultra processed foods
"Sondey, Belgix",Gaufres Liégeoises aux perles de sucre - Sondey - 550 g,"Snacks,  Sweet snacks"," Waffles,  Plain Brussels-style soft waffle","wheat flour , 25,7% sugar, margarine (vegetable oils (palm, rapeseed), palm fat, water, salt, emulsifiers: soy lecithin, mono - and fatty acid diglycerides, acidifiers: citric acid, lactic acid, colouring: carotenoids, aroma, vitamin a, vitamin d3), yeast, ground-raised hen eggs, inverted sugar, soy flour, stabilizer: sorbitols, salt, emulsifier: soy lecithin, natural aroma, natural vanilla aroma",Ultra processed foods
"Maribel, Biotrend",Erdbeer Konfitüre Extra - Maribel - 260g,"Plant-based foods and beverages,  Plant-based foods"," Strawberry jams,  Confitures-de-fruits","sugar*, strawberries*, citric acid, pectin",Ultra processed foods
Milbona,Batido al cacao Milbona,"Beverages,  Dairies"," Flavoured milks,  Chocolate milks","partially skimmed milk (1,4% fat), sugar, whey, defatted cocoa powder (1,5%), aroma, stabilizers: microcrystalline cellulose, sodium carboxymethylcellulose, carrageenans, sodium citrate, and salt,",Ultra processed foods
Milbona,Mini Mozzarella - Milbona - 125 g,"Dairies,  Fermented foods"," Mozzarella,  Cow mozzarella","lait pasteurisé issu d'animaux nourris sans OGM (<0,9%), sel, présure, acidifiant : acide citrique. À conserver réfrigérateur à +8 °C maximum. Non ouvert, à con - Sommer",Processed foods
Knorr,Knorr Assaisonnement En Poudre Aromat Tube 70g - 70 g,"Plant-based foods and beverages,  Plant-based foods"," Condiments,  Spices","salt, dextrose, flavor enhancers: glutamate, sodium inosinate and guanylate, corn starch, onion: 3.1%, yeast extract, sunflower oil, spice and aromatic: 0.3% (turmeric, garlic), natural mushroom flavor, may contain: gluten, celery, milk, mustard, egg, soy",Ultra processed foods
"Activia, Danone, Activia yoghurt fruits",Activia fruits 125 g x 8 abricot - fraise - mangue - kiwi - 1 kg,"Dairies,  Fermented foods"," Fermented dairy desserts with fruits,  Bifidus yogurts","whole milk (origin: france), fruit (8.2% on average): strawberry 8.3%, mango 8.3%, apricot 8%, kiwi 8%, sugar (6.2% on average), concentrated or powdered skimmed milk (origin: eu), cream (milk) (origin: france), thickeners (processed starch, pectin, carrageenan), concentrated carrot juices (in strawberry and apricot varieties), carrot and pumpkin concentrates (in mango variety), natural flavors,  acidity regulators (citric acid, sodium citrates), lactic ferments including bifidobacterium (bifidus actiregularis) (milk)",Ultra processed foods
"Panzani, Ebro Foods, Panzani les 3 Minutes",Panzani coquillettes 3 minutes 500g - 500 g,"Plant-based foods and beverages,  Plant-based foods"," fr:Coquillettes,  fr:Coquillettes de blé dur",100% top quality hard ble semolina,Food processing level unknown
Garbit,Taboulé tomates - Garbit - 525g,"Meals,  Tabbouleh"," Tabbouleh,  Tabbouleh with tomatoes","1 box of filling 400 g: fresh tomatoes 60%, water, onions, red peppers, extra virgin olive oil 2.6%, minced mint leaves 2.2%, salt, parsley, lemon juice concentrate 0.7%, concentrated orange juice, thickeners: guar gum, locust bean gum, pepper extract, (percentages expressed on the filling) 1 steam-cured durum semolina case 125 g,  allergen information: contains gluten cereals (wheat)",Ultra processed foods
Bonne Maman,confiture bonne maman 4 fruits - 370g,"Plant-based foods and beverages,  Plant-based foods"," Jams,  Berry jams","French: 
                    
                    Fruits (fraises 20 %, cerises 15 %, groseilles 12 %, cassis 3 %), sucre, sucre roux de canne, jus de citrons concentré et, éventuellement, gélifiant : pectine de fruits, si les fruits n'en contenaient pas suffisamment.",Ultra processed foods
"Boursin, Bel, Boursin salade",Boursin® Salade Ail & Fines Herbes - 120 g,"Dairies,  Fermented foods"," Uncured-soft-cheese-spreadable-around-30-40-fat-flavoured,  fr:FROMAGES DÉGUSTATIONS","French: 
LAIT et CRÈME pasteurisés (origine : France), ferments LACTIQUES, ail et fines herbes (1,3%), sel, amidon modifié, poivre. Peut contenir des traces de fruits à coque.",Ultra processed foods
Fleury Michon,Blanc de Poulet - Rôti à la Broche - Fleury Michon - 120 g,"Meats and their products,  Meats"," Cooked chicken breast slices,  fr:Blancs de poulet rôti à la broche","French: 
                    
                    Filet de poulet 93%, bouillons (eau, os de poulet, épices, carotte, céleri, oignon, poireau, poudre de réglisse, sel), sel , dextrose de maïs, concentrés de _céleri et carotte, ferments, antioxydant : ascorbate de sodium, colorant : caramel ordinaire.",Ultra processed foods
Cereal Bio,Quinoa au naturel - Cereal Bio - 220 g,"Plant-based foods and beverages,  Plant-based foods"," Cereal grains,  Quinoa",": 
                    
                    Eau, quinoa 38,4%, huile d'olive extra vierge, huile de tournesol, sel de mer.",Processed foods
Céréal Bio,Les Galettes Boulgour - Roquefort & Figues - Céréal Bio - 2x 100g,"Plant-based foods and beverages,  Plant-based foods"," Plant-based meals,  Vegetarian patties","boulghour wheat precooked* 59%, wheat flour*, a 9.1 %, oat flakes complete* 6,9%, roquefort cheese* 6,9%, water, sunflower oil oleic* , figs, dried* or 4.6%, sea salt, pepper*, *ingredients from organic farming,",Ultra processed foods
Bonne maman,"Bonne Maman - Raspberry Tarts, 135g (4.8oz) - 135 g","Snacks,  Sweet snacks"," Biscuits,  Tartlet biscuits with fruit preparation","Sugar, soft wheat flour, raspberries purée and concentrated raspberries purée 9.7%, butter, invert sugar syrup, sunflower oil, concentrated apples purée 2.1%, eggs, concentrated passion fruit juice, gelling agent: pectins, natural raspberry flavour with other natural flavours, salt, concentrated grape juice, acid: citric acid. May contain: nuts, sesame seeds, soya.",Ultra processed foods
Bjorg,Soja Douceur - Bjorg - 1 L ℮,"Plant-based foods and beverages,  Beverages"," Legume-based drinks,  Soy-based drinks","✔tonyu* (water, non-gmo soybeans* shelled 8%) agave syrup* natural vanilla flavour stabilizers: guar gum*, xanthan gum lemon juice* concentrate sea salt *organic ingredients",Ultra processed foods
